"","sp","long","lat","continent","year"
"147","Iris oratoria",-8.192444,39.912702,"EUROPE",2024
"148","Iris oratoria",-8.157338,38.38195,"EUROPE",2024
"149","Iris oratoria",-8.30185,38.473349,"EUROPE",2024
"150","Iris oratoria",23.012165,37.906247,"EUROPE",2021
"151","Iris oratoria",25.856907,35.020735,"EUROPE",2019
"152","Iris oratoria",23.712769,38.274925,"EUROPE",2024
"153","Iris oratoria",4.208912,43.777695,"EUROPE",2023
"154","Iris oratoria",3.978824,43.661585,"EUROPE",2011
"155","Iris oratoria",3.862199,43.590534,"EUROPE",2019
"156","Iris oratoria",-0.206942,38.886269,"EUROPE",2006
"157","Iris oratoria",-3.695183,37.235795,"EUROPE",2017
"158","Iris oratoria",20.7504,39.163825,"EUROPE",2024
"159","Iris oratoria",-6.893262,39.04639,"EUROPE",2024
"160","Iris oratoria",2.835218,42.231391,"EUROPE",2024
"161","Iris oratoria",-2.221546,36.758229,"EUROPE",2021
"162","Iris oratoria",0.852357,40.938817,"EUROPE",2011
"163","Iris oratoria",-3.522032,36.964368,"EUROPE",2021
"164","Iris oratoria",-3.759655,37.096514,"EUROPE",2022
"165","Iris oratoria",-6.97698,41.53918,"EUROPE",2024
"166","Iris oratoria",-0.785093,41.721463,"EUROPE",2014
"167","Iris oratoria",2.952641,42.142654,"EUROPE",2024
"168","Iris oratoria",6.05301,43.37356,"EUROPE",2018
"169","Iris oratoria",4.08289,43.63696,"EUROPE",2021
"170","Iris oratoria",6.009577,43.438504,"EUROPE",2024
"171","Iris oratoria",-7.383612,37.977773,"EUROPE",2024
"172","Iris oratoria",-7.445422,40.40625,"EUROPE",2024
"173","Iris oratoria",-8.549488,38.226019,"EUROPE",2024
"174","Iris oratoria",-4.91,42.047303,"EUROPE",2024
"175","Iris oratoria",-7.982039,37.164867,"EUROPE",2023
"176","Iris oratoria",23.329294,39.193141,"EUROPE",2024
"177","Iris oratoria",6.22525,43.14349,"EUROPE",2021
"178","Iris oratoria",-8.420225,37.204691,"EUROPE",2021
"179","Iris oratoria",3.9463,43.783048,"EUROPE",2024
"180","Iris oratoria",5.92065,43.19718,"EUROPE",2022
"181","Iris oratoria",-5.189403,38.901618,"EUROPE",2024
"182","Iris oratoria",14.09122,37.12764,"EUROPE",2024
"183","Iris oratoria",-8.614864,39.235956,"EUROPE",2024
"184","Iris oratoria",3.902004,43.515539,"EUROPE",2020
"185","Iris oratoria",-7.522285,37.770864,"EUROPE",2024
"186","Iris oratoria",3.769734,43.826356,"EUROPE",2022
"187","Iris oratoria",-2.251265,39.548348,"EUROPE",2024
"188","Iris oratoria",8.894001,41.671736,"EUROPE",2024
"189","Iris oratoria",-0.511633,39.66522,"EUROPE",2024
"190","Iris oratoria",-3.412404,36.903098,"EUROPE",2021
"191","Iris oratoria",-4.324493,36.910042,"EUROPE",2024
"192","Iris oratoria",-4.086882,38.868374,"EUROPE",2018
"193","Iris oratoria",6.591458,43.46925,"EUROPE",2023
"194","Iris oratoria",-5.364233,36.856247,"EUROPE",2024
"195","Iris oratoria",-0.99,38.52,"EUROPE",2023
"196","Iris oratoria",26.355255,36.547478,"EUROPE",2024
"197","Iris oratoria",26.116622,38.29582,"EUROPE",2024
"198","Iris oratoria",4.595716,43.678874,"EUROPE",2024
"199","Iris oratoria",-8.280728,37.127825,"EUROPE",2023
"200","Iris oratoria",-7.321995,39.309113,"EUROPE",2024
"201","Iris oratoria",22.847425,38.441718,"EUROPE",2024
"202","Iris oratoria",1.9167,41.587188,"EUROPE",2024
"203","Iris oratoria",17.454767,40.627926,"EUROPE",2024
"204","Iris oratoria",-3.985763,36.855862,"EUROPE",2016
"205","Iris oratoria",-5.93314,37.391313,"EUROPE",2018
"206","Iris oratoria",-4.846409,36.690909,"EUROPE",2023
"207","Iris oratoria",-2.323458,38.364912,"EUROPE",2024
"208","Iris oratoria",9.614999,40.40625,"EUROPE",2024
"209","Iris oratoria",-8.01445,40.243541,"EUROPE",2024
"210","Iris oratoria",11.010618,42.712673,"EUROPE",2022
"211","Iris oratoria",-4.795167,36.821846,"EUROPE",2024
"212","Iris oratoria",-6.533652,37.810869,"EUROPE",2024
"213","Iris oratoria",3.559995,43.438844,"EUROPE",2022
"214","Iris oratoria",-3.758988,40.326422,"EUROPE",2008
"215","Iris oratoria",-8.183088,39.10241,"EUROPE",2024
"216","Iris oratoria",-8.128975,37.646483,"EUROPE",2024
"217","Iris oratoria",-2.572453,39.379874,"EUROPE",2009
"218","Iris oratoria",19.514605,41.22542,"EUROPE",2024
"219","Iris oratoria",4.679312,43.502647,"EUROPE",2022
"220","Iris oratoria",5.084402,43.794617,"EUROPE",2024
"221","Iris oratoria",-3.587217,40.722758,"EUROPE",2024
"222","Iris oratoria",-7.977818,37.798569,"EUROPE",2023
"223","Iris oratoria",-7.314478,39.241447,"EUROPE",2024
"224","Iris oratoria",26.361098,42.689811,"EUROPE",2024
"225","Iris oratoria",-6.968554,40.784387,"EUROPE",2024
"226","Iris oratoria",6.695806,43.567006,"EUROPE",2024
"227","Iris oratoria",-0.5593,39.543428,"EUROPE",2024
"228","Iris oratoria",-2.61492,36.893859,"EUROPE",2018
"229","Iris oratoria",-7.238565,40.026145,"EUROPE",2021
"230","Iris oratoria",3.36235,43.65168,"EUROPE",2018
"231","Iris oratoria",1.022634,41.886321,"EUROPE",2024
"232","Iris oratoria",-8.229524,40.21494,"EUROPE",2024
"233","Iris oratoria",8.348906,40.628533,"EUROPE",2024
"234","Iris oratoria",-3.435164,40.389789,"EUROPE",2024
"235","Iris oratoria",-7.762952,39.734718,"EUROPE",2024
"236","Iris oratoria",-7.458377,40.105,"EUROPE",2024
"237","Iris oratoria",-3.648154,37.086824,"EUROPE",2022
"238","Iris oratoria",12.331129,42.008903,"EUROPE",2024
"239","Iris oratoria",25.109181,41.004933,"EUROPE",2024
"240","Iris oratoria",-2.82132,37.113971,"EUROPE",2018
"241","Iris oratoria",24.758816,35.030663,"EUROPE",2024
"242","Iris oratoria",-7.496739,39.821799,"EUROPE",2024
"243","Iris oratoria",-7.509278,38.760174,"EUROPE",2024
"244","Iris oratoria",-8.039067,37.907728,"EUROPE",2018
"245","Iris oratoria",-3.663153,40.540171,"EUROPE",2018
"246","Iris oratoria",-6.811583,37.927108,"EUROPE",2024
"247","Iris oratoria",-5.802312,37.165383,"EUROPE",2024
"248","Iris oratoria",20.029826,39.86544,"EUROPE",2024
"249","Iris oratoria",2.251378,41.768389,"EUROPE",2024
"250","Iris oratoria",11.282231,42.411135,"EUROPE",2024
"251","Iris oratoria",-9.06315,38.897461,"EUROPE",2024
"252","Iris oratoria",-0.812616,41.795624,"EUROPE",2024
"253","Iris oratoria",6.931642,43.635098,"EUROPE",2019
"254","Iris oratoria",0.868852,41.837089,"EUROPE",2018
"255","Iris oratoria",-1.859228,38.966858,"EUROPE",2016
"256","Iris oratoria",2.997788,43.266011,"EUROPE",2018
"257","Iris oratoria",-0.602812,38.832508,"EUROPE",2023
"258","Iris oratoria",-4.655749,36.509644,"EUROPE",2017
"259","Iris oratoria",5.067501,43.388051,"EUROPE",2022
"260","Iris oratoria",24.701661,40.974511,"EUROPE",2024
"261","Iris oratoria",23.295042,40.282885,"EUROPE",2024
"262","Iris oratoria",-5.050741,36.677083,"EUROPE",2024
"263","Iris oratoria",4.34761,43.84463,"EUROPE",1991
"264","Iris oratoria",-6.930017,38.878333,"EUROPE",2024
"265","Iris oratoria",19.674605,40.252048,"EUROPE",2024
"266","Iris oratoria",-8.908305,37.025545,"EUROPE",2023
"267","Iris oratoria",16.601491,43.177524,"EUROPE",2024
"268","Iris oratoria",-0.709097,38.509766,"EUROPE",2023
"269","Iris oratoria",-3.836226,36.755205,"EUROPE",2021
"270","Iris oratoria",-5.278448,36.549117,"EUROPE",2019
"271","Iris oratoria",5.094681,44.079008,"EUROPE",2010
"272","Iris oratoria",-3.920908,40.618228,"EUROPE",2017
"273","Iris oratoria",25.163901,35.252355,"EUROPE",2024
"274","Iris oratoria",-6.096125,37.251528,"EUROPE",2021
"275","Iris oratoria",0.412191,40.602509,"EUROPE",2024
"276","Iris oratoria",-0.576485,39.34915,"EUROPE",2022
"277","Iris oratoria",6.733846,43.407483,"EUROPE",2019
"278","Iris oratoria",23.82042,35.272368,"EUROPE",2024
"279","Iris oratoria",25.292428,35.327532,"EUROPE",2018
"280","Iris oratoria",24.212396,35.435486,"EUROPE",2024
"281","Iris oratoria",-1.63683,37.53912,"EUROPE",2011
