"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","type","elevation","elevationAccuracy","county","preparations"
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",37.695633,26.96235,"EUROPE","North Aegean",2019,9,8,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3995424811",NA,"Samos",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",36.549121,-5.278416,"EUROPE","Málaga",2019,9,1,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3716147610",NA,"Benarrabá",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",36.769474,27.053359,"EUROPE","South Aegean",2019,9,26,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3996986643",NA,"Kos",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",42.950909,2.972226,"EUROPE","Aude (11)",2019,9,23,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3822655490",NA,"La Palme",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",38.053675,-6.246643,"EUROPE","Badajoz",2019,9,28,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3716108507",NA,"Monesterio",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",36.859194,-5.646146,"EUROPE","Cádiz",2019,9,14,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3996448848",NA,"Villamartín",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",40.43814,9.7673,"EUROPE","Sardegna",2019,9,24,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3716282496",NA,"Orosei (comuni)",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",35.01223,-115.653052,"NORTH_AMERICA","California (CA)",2019,9,3,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3904063445",NA,"Mojave National Preserve (CA)",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",36.203798,-119.172656,"NORTH_AMERICA","California (CA)",2019,9,8,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3905713416",NA,"Tulare (CA)",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",38.108675,12.677341,"EUROPE","Sicily",2019,9,28,"cdc,cdround","https://www.inaturalist.org/observations/196198117","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","4510444490","196198117",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",37.412393,-8.818935,"EUROPE","Faro",2019,9,21,"cdc,cdround","https://www.inaturalist.org/observations/217751090","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4872229656","217751090",NA,NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",39.747319,2.648558,"EUROPE","Illes Balears",2019,9,22,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4057361564",NA,"Mallorca - Deyá",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",38.503623,-121.747746,"NORTH_AMERICA","California",2019,9,1,"cdc,cdround","https://www.inaturalist.org/observations/31942972","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2397664488","31942972",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",35.271188,25.412771,"EUROPE","Crete",2019,9,2,"cdc,cdround","https://www.inaturalist.org/observations/31970220","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2397670779","31970220",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",39.165829,23.865825,"EUROPE","Thessaly and Central Greece",2019,9,1,"cdc,cdround","https://www.inaturalist.org/observations/31987119","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2397675792","31987119",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",42.375119,3.025832,"EUROPE","Cataluña",2019,9,2,"cdc,cdround","https://www.inaturalist.org/observations/32014656","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3398776415","32014656",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",39.144099,9.397139,"EUROPE","Sardegna",2019,9,3,"cdc,cdround","https://www.inaturalist.org/observations/32042933","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2422896914","32042933",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",40.820167,9.66782,"EUROPE","Sardegna",2019,9,3,"cdc,cdround","https://www.inaturalist.org/observations/32094762","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4009693320","32094762",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",41.865044,12.422358,"EUROPE","Lazio",2019,9,3,"cdc,cdround","https://www.inaturalist.org/observations/32120874","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2460096557","32120874",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",35.065911,-109.781538,"NORTH_AMERICA","Arizona",2019,9,4,"cdc,cdround","https://www.inaturalist.org/observations/32141477","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2422913886","32141477",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",43.635098,6.931642,"EUROPE","Provence-Alpes-Côte d'Azur",2019,9,4,"cdc,cdround","https://www.inaturalist.org/observations/32147999","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2963800341","32147999",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",43.207851,6.632,"EUROPE","Provence-Alpes-Côte d'Azur",2019,9,3,"cdc,cdround","https://www.inaturalist.org/observations/32149958","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","4867864831","32149958",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",43.416615,6.81852,"EUROPE","Provence-Alpes-Côte d'Azur",2019,9,7,"cdc,cdround","https://www.inaturalist.org/observations/32265553","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3008462351","32265553",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",37.091403,-8.44457,"EUROPE","Faro",2019,9,7,"cdc,cdround","https://www.inaturalist.org/observations/32281982","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","4987794514","32281982",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",34.499345,-118.551895,"NORTH_AMERICA","California",2019,9,7,"cdc","https://www.inaturalist.org/observations/32324921","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3059008424","32324921",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",35.292284,25.425709,"EUROPE","Crete",2019,9,8,"cdc,cdround","https://www.inaturalist.org/observations/32342600","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2422966039","32342600",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",34.155975,-118.303412,"NORTH_AMERICA","California",2019,9,8,"cdc,cdround","https://www.inaturalist.org/observations/32367977","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2422974235","32367977",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",32.966192,-111.667446,"NORTH_AMERICA","Arizona",2019,9,9,"cdc,cdround","https://www.inaturalist.org/observations/32440680","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2422993375","32440680",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",33.531945,-112.102859,"NORTH_AMERICA","Arizona",2019,9,7,"cdc,cdround","https://www.inaturalist.org/observations/32452911","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2429243815","32452911",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",35.418982,-119.145152,"NORTH_AMERICA","California",2019,9,10,"cdc,cdround","https://www.inaturalist.org/observations/32466586","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2423001191","32466586",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",32.885325,-109.500083,"NORTH_AMERICA","Arizona",2019,9,1,"cdc,cdround","https://www.inaturalist.org/observations/32627760","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415449372","32627760",NA,NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",36.830156,-2.604449,"EUROPE","Almería",2019,9,2,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4957674560",NA,"Roquetas de Mar",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",36.830169,-2.60446,"EUROPE","Almería",2019,9,2,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4957187939",NA,"Roquetas de Mar",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",38.609208,-0.804341,"EUROPE","Alicante",2019,9,5,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4957487279",NA,"Villena",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",40.416705,-3.703582,"EUROPE","Comunidad Autónoma de Madrid",2019,9,8,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4956365070",NA,"Villa de Madrid",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",36.808169,-2.600783,"EUROPE","Almería",2019,9,7,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4956494846",NA,"Roquetas de Mar",NA,NA,NA,NA,NA
"8a863029-f435-446a-821e-275f4f641165","HUMAN_OBSERVATION","PRESENT","Iris oratoria",36.862184,-5.1787,"EUROPE","Cádiz",2019,9,5,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4957610032",NA,"Setenil de las Bodegas",NA,NA,NA,NA,NA
